Name,DIY,Stack Size,Buy,Sell,Source,Source Notes,Version,Filename,Internal ID,Unique Entry ID
bamboo lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceBamboo,3403,XaLnmQsQ47HfHQ9g5
barbed-wire fence,Yes,50,NFS,1980,Crafting,,1.0.0,ItemFenceBarbedWire,5213,dNgibaR9jFqaDwuDZ
brick fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceWallRenga,3080,WAzanA7e5MREzJdMh
Bunny Day fence,Yes,50,NFS,2400,Crafting,,1.1.0a,ItemFenceEgg,12630,CLQGhAfSNykpxrh3a
corral fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceHorizontalWood,4349,rqwqYy7Aphvh5zBSA
country fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceLog,4350,twwkbWJ8YsoJEy3j8
hedge,Yes,50,NFS,55,Crafting,,1.2.0,ItemFenceIkegaki,12758,TphLYSh2MdogHdheg
imperial fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceChinese,4354,fHqt7TXfbhfKnPbwG
iron fence,Yes,50,NFS,4500,Crafting,,1.0.0,ItemFenceSteel,4357,RL5hL24NbwzE7zv3R
iron-and-stone fence,Yes,50,NFS,3150,Crafting,,1.0.0,ItemFenceIronAndStone,5206,kjSa4R6JQz2DtWQ2C
lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceLatiiceNatural,11712,qBrhYgaCnEiQYouP6
rope fence,Yes,50,NFS,3000,Crafting,,1.0.0,ItemFencePegRope,4352,TpruAQnqeeYcDxPRj
simple wooden fence,Yes,50,NFS,720,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,1.0.0,ItemFenceNatural,11711,bxF62vutvYBw9BTDT
spiky fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceSharply,4358,gYccyRpBzpFCLLW56
stone fence,Yes,50,NFS,600,Crafting,,1.0.0,ItemFenceStone,5212,ECNmTH3oh3SEDpHCr
straw fence,Yes,50,NFS,560,Crafting,,1.0.0,ItemFenceDriedStraw,4356,yp69uEZTdfS9CkisA
vertical-board fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceVerticalWood,3402,M9pkSgdAaKgQELi3E
wedding fence,Yes,50,NFS,411,Crafting,,1.2.0,ItemFenceJuneBride,12894,68uMh2zjCmeJukYhv
zen fence,Yes,50,NFS,3300,Crafting,,1.0.0,ItemFenceJapanese,5207,yZeqREzefxeSiLAaP﻿Name,Award Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,53,ImmigratetoIsland,Event,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Angling for Perfection!,Number of total fish caught,2,0,CatchFish,Fish,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,wkj9WzycBpxtq6CDG
Island Ichthyologist,Number of unique fish caught,3,3,FillFishList,Fish,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,Ajpkv8wXcZLqM8bMT
Island Togetherness,Number of days in which you've talked to every one of your villagers,4,68,GreetAllVillager,Communication,5,1,10,20,30,50,300,500,1000,2000,3000,0,Yes,1.0.0,syoxyxWL7ymwpKpGN
You've Got the Bug,Number of total bugs caught,5,1,CatchInsect,Insect,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,weJ4f9MDdBuzLBrBM
Bugs Don't Bug Me,Number of unique bugs caught,6,4,FillInsectList,Insect,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,ttRSm74XC4MzSHgnX
Have a Nice DIY!,Number of DIY recipes collected,7,55,FillRecipeList,DIY,5,10,50,100,150,200,300,500,1000,2000,3000,0,Yes,1.0.0,fsanquagmfwNCY8wW
DIY Tools,Number of tools you've crafted,8,72,DIYTool,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6k5CnRgbm55m93jMT
DIY Furniture,Number of furniture pieces you've crafted,9,73,DIYFurniture,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,TprrYjwsCvZbDdcvK
Furniture Freshener,Number of times you've customized furniture at a workbench,10,14,RemakeFurniture,DIY,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,viHJXo8XB8C3h259Q
Rough-hewn,Number of times you've chopped wood from trees,11,67,StrikeWood,DIY,5,20,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,btjGeCA3qDRLwhuZE
Trashed Tools,Number of tools you've broken,12,49,BreakTool,HHA,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,YhhXqkerTwLu4ewXi
Rock-Splitting Champ,Awarded the first time you get 8 ores/stones from striking a rock,13,57,StrikeRock8Times,HHA,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,hgxFRczyFtmSmiTEG
Bona Fide Bone Finder!,Awarded the first time you dig up a fossil,14,61,DigFossil,HHA,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,za7CbkxtzEysWCFJg
Fossil Assessment,Number of fossils you've had assessed by Blathers,15,62,JudgeFossil,HHA,5,5,30,100,300,500,300,500,1000,2000,3000,0,Yes,1.0.0,SYs89hReg8PJPhi7b
Greedy Weeder,Number of weed clumps you've sold to the shop,16,37,SellWeed,Plant,5,50,200,1000,2000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,MRjh6LGccgw56xxca
Flower Power,Number of flower seeds you've planted (does not count digging up and replanting existing flowers),17,6,PlantFlowerSeed,Plant,5,10,50,100,200,300,300,500,1000,2000,3000,0,Yes,1.0.0,aub4aeJa7i4ps92vt
Flower Tender,Number of flowers you've watered,18,23,WaterPlant,Plant,5,10,50,100,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,8JeajqbS7bHbJ4KPH
Tomorrow's Trees Today,Number of tree saplings you've planted (does not count planting fruits or replanting existing trees),19,8,PlantTreeSeedling,Plant,3,5,10,30,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,eeDWd35DjuJy7CsM5
Pick of the Bunch,Number of fruits you've sold to the shop,20,70,SellFruit,Plant,5,20,100,500,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,tGg8gEWooCRFAn2Km
Fruit Roots,"Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",21,7,PlantFruit,Plant,6,0,0,0,0,0,100,200,300,500,700,1000,No,1.0.0,tNSnLaumH2MbDMSqK
Shrubbery Hububbery,Number of shrub starts you've planted (replanting existing shrubs),22,92,PlantBushSeedling,Plant,3,1,2,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,kosAYGQuM92yWsRZx
Go Ahead. Be Shellfish!,Number of seashells you've sold to the shop,23,69,SellShell,Fish,5,10,50,200,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,eycL6Ntub97uvKwgB
